§Size (d.nm) - VB-2403-02D [Steady state]	Intensity (Percent) - VB-2403-02D [Steady state]	Size (d.nm) - VB-2403-02D [Steady state]	Intensity (Percent) - VB-2403-02D [Steady state]	Size (d.nm) - VB-2403-02D [Steady state]	Intensity (Percent) - VB-2403-02D [Steady state]	Size (d.nm) - VB-2403-02D [Steady state]	Intensity (Percent) - VB-2403-02D [Steady state]
0.45	0.9532	0.45	0.9579	0.45	0.9525	0.45	0.9475
0.475	0.9531	0.475	0.9572	0.475	0.9535	0.475	0.9458
0.5	0.9522	0.5	0.9556	0.5	0.9536	0.5	0.948
0.525	0.9535	0.525	0.9554	0.525	0.9541	0.525	0.9461
0.55	0.9535	0.55	0.9567	0.55	0.9515	0.55	0.9476
0.575	0.9536	0.575	0.9539	0.575	0.9498	0.575	0.9492
0.6	0.9536	0.6	0.955	0.6	0.947	0.6	0.9519
0.625	0.9524	0.625	0.9538	0.625	0.9465	0.625	0.9496
0.65	0.95	0.65	0.9561	0.65	0.9481	0.65	0.9482
0.675	0.9503	0.675	0.9569	0.675	0.9496	0.675	0.9443
0.7	0.9484	0.7	0.9567	0.7	0.9521	0.7	0.9435
0.725	0.9493	0.725	0.9565	0.725	0.9514	0.725	0.9428
0.75	0.9478	0.75	0.9549	0.75	0.9492	0.75	0.942
0.775	0.95	0.775	0.9548	0.775	0.9479	0.775	0.944
0.8	0.95	0.8	0.9536	0.8	0.9471	0.8	0.9434
0.85	0.9504	0.85	0.9535	0.85	0.9497	0.85	0.9444
0.9	0.9503	0.9	0.9533	0.9	0.9487	0.9	0.9428
0.95	0.9514	0.95	0.9537	0.95	0.9486	0.95	0.9429
1	0.9512	1	0.9517	1	0.9485	1	0.9429
1.05	0.9485	1.05	0.9508	1.05	0.9492	1.05	0.9428
1.1	0.9464	1.1	0.9492	1.1	0.9501	1.1	0.9421
1.15	0.945	1.15	0.9495	1.15	0.9485	1.15	0.9412
1.2	0.9463	1.2	0.9486	1.2	0.9479	1.2	0.9399
1.25	0.9472	1.25	0.9482	1.25	0.9454	1.25	0.9397
1.3	0.9478	1.3	0.9478	1.3	0.9473	1.3	0.9399
1.35	0.9457	1.35	0.948	1.35	0.9453	1.35	0.9389
1.4	0.9441	1.4	0.9484	1.4	0.9451	1.4	0.9385
1.45	0.9429	1.45	0.9488	1.45	0.9426	1.45	0.9386
1.5	0.9427	1.5	0.9486	1.5	0.9456	1.5	0.94
1.55	0.944	1.55	0.9482	1.55	0.9485	1.55	0.9399
1.6	0.9437	1.6	0.948	1.6	0.9503	1.6	0.9405
1.7	0.9446	1.7	0.9463	1.7	0.9471	1.7	0.9387
1.8	0.9426	1.8	0.9458	1.8	0.9459	1.8	0.9376
1.9	0.9422	1.9	0.9456	1.9	0.9443	1.9	0.9357
2	0.9411	2	0.9456	2	0.9442	2	0.9361
2.1	0.9398	2.1	0.9448	2.1	0.9432	2.1	0.9351
2.2	0.9398	2.2	0.9444	2.2	0.9408	2.2	0.9344
2.3	0.9391	2.3	0.9438	2.3	0.9393	2.3	0.9341
2.4	0.9396	2.4	0.944	2.4	0.9383	2.4	0.9333
2.5	0.9392	2.5	0.9419	2.5	0.937	2.5	0.9317
2.6	0.9393	2.6	0.9422	2.6	0.937	2.6	0.9306
2.7	0.9384	2.7	0.9418	2.7	0.9356	2.7	0.9296
2.8	0.9377	2.8	0.9434	2.8	0.9373	2.8	0.9302
2.9	0.9354	2.9	0.9421	2.9	0.9367	2.9	0.9286
3	0.935	3	0.9406	3	0.9367	3	0.9294
3.1	0.9341	3.1	0.938	3.1	0.9357	3.1	0.9267
3.2	0.9342	3.2	0.9373	3.2	0.9349	3.2	0.9266
3.4	0.9332	3.4	0.9366	3.4	0.9339	3.4	0.9252
3.6	0.9322	3.6	0.9352	3.6	0.9329	3.6	0.9257
3.8	0.931	3.8	0.934	3.8	0.9309	3.8	0.9249
4	0.9297	4	0.9321	4	0.9294	4	0.9224
4.2	0.9278	4.2	0.9322	4.2	0.928	4.2	0.9206
4.4	0.9267	4.4	0.9308	4.4	0.9287	4.4	0.9198
4.6	0.9254	4.6	0.93	4.6	0.9277	4.6	0.9189
4.8	0.9254	4.8	0.9283	4.8	0.9269	4.8	0.9181
5	0.9235	5	0.9274	5	0.9247	5	0.9165
5.2	0.9214	5.2	0.9266	5.2	0.9237	5.2	0.9147
5.4	0.9186	5.4	0.9257	5.4	0.9221	5.4	0.9136
5.6	0.9174	5.6	0.924	5.6	0.9202	5.6	0.9123
5.8	0.9169	5.8	0.9227	5.8	0.9185	5.8	0.9119
6	0.9163	6	0.9207	6	0.9167	6	0.9105
6.2	0.9159	6.2	0.9191	6.2	0.9159	6.2	0.9092
6.4	0.9146	6.4	0.9173	6.4	0.9151	6.4	0.908
6.8	0.9118	6.8	0.9153	6.8	0.9131	6.8	0.9062
